ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
801001;Start;Start;Başlat;Start;Start;Iniciar;Welcome to the installation wizard;;Start;Start;Başlat;Start;Start;Start
801002;Activation;Aktivierung;Etkinleştirme;Activation;Activation;Activación;Vodafone Station start-up in progress...;;Aktivierung;Activation;Etkinleştirme;Aktivierung;Activation;Activation
801003;Start;Start;Başlat;Start;Start;Inicio;Internet connection status check in progress...;;Start;Start;Başlat;Start;Start;Start
801004;Activation;Aktivierung;Etkinleştirme;Activation;Activation;Activación;Vodafone Station initial configuration check in progress...;;Aktivierung;Activation;Etkinleştirme;Aktivierung;Activation;Activation
801005;UMTS;UMTS;UMTS;UMTS;UMTS;3G;Downloading latest software (%s complete)...;;UMTS;UMTS;UMTS;UMTS;UMTS;UMTS
801006;Account;Zugang;Hesap;Account;Account;Cuenta;Your Vodafone Station is being restarted. This may take up to 2 minutes. Please do not restart or press any buttons until it has restarted.;;Zugang;Account;Hesap;Zugang;Account;Account
801007;Finish;Fertigstellen;Tamamla;Finish;Finish;Fin;Vodafone Station additional services check in progress...;;Fertigstellen;Finish;Tamamla;Fertigstellen;Finish;Finish
801008;NA;NA;NA;NA;NA;no utilizado;Initial configuration complete. Click Continue to discover all the Vodafone Station services.;;NA;NA;NA;NA;NA;NA
801009;Follow these quick setup steps and get started in a few minutes.;Folgen Sie dieser Schnellinstallation, und in einigen Minuten ist Ihre EasyBox betriebsbereit;Bu hızlı kurulum kılavuzunda yer alan talimatları takip ettiğiniz takdirde EasyBox cihazınız birkaç dakika içinde çalışmaya hazırdır.;Follow these quick setup steps and get started in a few minutes.;Follow these quick setup steps and get started in a few minutes.;Siga estos pasos de configuración rápida y comience a usar su servicio en unos pocos minutos.;The Vodafone Station needs to be restarted. This may last for a minute. Please press Restart to continue.;;Folgen Sie dieser Schnellinstallation, und in einigen Minuten ist Ihre EasyBox betriebsbereit.;Follow these quick setup steps and get started in a few minutes.;Bu hızlı kurulum kılavuzunda yer alan talimatları takip ettiğiniz takdirde EasyBox cihazınız birkaç dakika içinde çalışmaya hazırdır.;Folgen Sie dieser Schnellinstallation, und in einigen Minuten ist Ihre EasyBox betriebsbereit.;Follow these quick setup steps and get started in a few minutes.;Follow these quick setup steps and get started in a few minutes.
801010;Start Activation;Aktivierung starten;Etkinleştirmeyi başlat;Start Activation;Start Activation;Iniciar activación;A problem occurred during Vodafone Station setup. No internet connection is available. Please check ADSL cable (error code 021). Try to restart the Station.;;Aktivierung starten;Start Activation;Etkinleştirmeyi başlat;Aktivierung starten;Start Activation;Start Activation
801011;Set Password;Einloggen;Giriş;Set Password;Set Password;Establecer contraseña;Press Start to begin the installation wizard.;;Einloggen;Set Password;Giriş;Einloggen;Set Password;Set Password
801012;Firmware Update;Firmware aktualisieren;Firmware güncelleme;Firmware Update;Firmware Update;Actualización del firmware;Connection Unavailable;;Firmware aktualisieren;Firmware Update;Firmware güncelleme;Firmware aktualisieren;Firmware Update;Firmware Update
801013;LTE SIM card is initializing. Please wait.;Die LTE SIM-Karte wird initialisiert. Bitte warten.;4G SIM kart başlatılıyor. Lütfen bekleyin.;LTE SIM card is initializing. Please wait.;LTE SIM card is initializing. Please wait.;La Tarjeta SIM se está iniciando. Por favor, espere.;Your wired connection is unavailable and you are currently connected to the internet via a mobile network.;;Die LTE SIM-Karte wird initialisiert. Bitte warten.;LTE SIM card is initializing. Please wait.;4G SIM kart başlatılıyor. Lütfen bekleyin.;Die LTE SIM-Karte wird initialisiert. Bitte warten.;LTE SIM card is initializing. Please wait.;LTE SIM card is initializing. Please wait.
801014;Activation in progress by another user;Die Aktivierung wird bereits durch einen anderen Benutzer durchgeführt.;Aktivasyon başka bir kullanıcı tarafından gerçekleştiriliyor.;Activation in progress by another user;Activation in progress by another user;Activación en curso por otro usuario;Are you sure you want to exit the set up wizard?;;Die Aktivierung wird bereits durch einen anderen Benutzer durchgeführt.;Activation in progress by another user;Aktivasyon başka bir kullanıcı tarafından gerçekleştiriliyor.;Die Aktivierung wird bereits durch einen anderen Benutzer durchgeführt.;Activation in progress by another user;Activation in progress by another user
