ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
501001;Password;Kennwort;Şifre;Password;Password;Contraseña;Password;;EasyBox-Kennwort;EasyBox Password;EasyBox'unuzun şifresi;EasyBox-Kennwort;EasyBox Password;PlusBox Password
501002;Set a password to restrict management access to the router. If you want to manage the router from a remote location (outside of the local network), you must also specify the IP address of the remote PC. You can do this in the Remote Management menu.;Wählen Sie ein Kennwort, um den Zugang zum Einstellungsmenu zu schützen. Wenn Sie den Router per Fernzugriff steuern möchten, müssen Sie ausserdem die IP-Adresse des entsprechenden PCs festlegen. Dies können Sie im Remote Management Menu tun.;Ayarlama menüsüne erişimi korumak istiyorsanız bir şifre belirleyiniz. Eğer yönlendiriciyi (router) uzaktan erişim yoluyla kumanda etmek istiyorsanız, ilgili biligsarayinin IP adresini sabit olarak belirlemeniz gerekmektedir. Bunu Uzaktan Yönetim menüsünde yapabilirsiniz.;Set a password to restrict management access to the router. If you want to manage the router from a remote location (outside of the local network), you must also specify the IP address of the remote PC. You can do this in the Remote Management menu.;Set a password to restrict management access to the router.;Establezca una contraseña para restringir el acceso de administración al router. ;Set a password to restrict management access to the router. If you want to manage the router from a remote location (outside of the local network), you must also specify the IP address of the remote PC. You can do this in the Remote Management menu.;;Das EasyBox-Kennwort schützt den Zugang zum Einstellungsmenü. Wählen Sie immer ein sicheres Kennwort.;Set a new Easybox password to restrict management access to the router.;EasyBox´un ayar menüsini korumak için yeni bir şifre seçin.;Das EasyBox-Kennwort schützt den Zugang zum Einstellungsmenü. Wählen Sie immer ein sicheres Kennwort.;Set a new Easybox password to restrict management access to the router.;Set a password to restrict management access to the router. If you want to manage the router from a remote location (outside of the local network), you must also specify the IP address of the remote PC. You can do this in the Remote Management menul.
501003;Login Account;Zugangsdaten;Erişim bilgileri;Login Account;Login Account;Login;Login Account;;Zugangsdaten;Login Account;Erişim bilgileri;Zugangsdaten;Login Account;Login Account
501004;Current Password;Aktuelles Kennwort;Güncel şifre;Current Password;Current Password;Contraseña actual;Current Password;;Aktuelles EasyBox-Kennwort;Current EasyBox Password;Güncel şifre;Aktuelles EasyBox-Kennwort;Current EasyBox Password;Current PlusBox Password
501005;Account Security;Zugangssicherheit;Erişim güvenliği;Account Security;Account Security;Seguridad de la cuenta;Account Security;;Zugangssicherheit;Account Security;Erişim güvenliği;Zugangssicherheit;Account Security;Account Security
501006;Automatic Logout;Automatisches Ausloggen;Otomatik çıkış;Automatic Logout;Automatic Logout;Desconexión automática;Automatic Logout;;Automatisches Ausloggen;Automatic Logout;Otomatik çıkış;Automatisches Ausloggen;Automatic Logout;Automatic Logout
501007;5 Minutes;5 Minuten;5 dakika;5 Minutes;5 Minutes;5 Minutos;5 Minutes;;5 Minuten;5 Minutes;5 dakika;5 Minuten;5 Minutes;5 Minutes
501008;15 Minutes;15 Minuten;15 dakika;15 Minutes;15 Minutes;15 Minutos;15 Minutes;;15 Minuten;15 Minutes;15 dakika;15 Minuten;15 Minutes;15 Minutes
501009;30 Minutes;30 Minuten;30 dakika;30 Minutes;30 Minutes;30 Minutos;30 Minutes;;30 Minuten;30 Minutes;30 dakika;30 Minuten;30 Minutes;30 Minutes
501010;Never;Nie;Hiçbir zaman;Never;Never;Nunca;Never;;Nie;Never;Hiçbir zaman;Nie;Never;Never
501011;%s Minutes;%s Minuten;%s dakika;%s Minutes;%s Minutes;%s minutos;%s Minutes;;%s Minuten;%s Minutes;%s dakika;%s Minuten;%s Minutes;%s Minutes
501012;Space characters are not allowed in the password.;Leerzeichen sind beim Kennwort nicht erlaubt;Şifre de Space karakteri kullanilamaz.;Space characters are not allowed in the password.;Space characters are not allowed in the password.;Los espacios no están permitidos en la contraseña.;Space characters are not allowed in the password.;;Leerzeichen sind beim Kennwort nicht erlaubt;Space characters are not allowed in the password.;Şifre de Space karakteri kullanilamaz.;Leerzeichen sind beim Kennwort nicht erlaubt;Space characters are not allowed in the password.;Space characters are not allowed in the password.
501013;NA;NA;NA;NA;Username;Nombre de usuario;NA;NA;NA;NA;NA;NA;NA;Guest WLAN Network
501014;NA;NA;NA;NA;Reset Password;Resetear contraseña;NA;NA;NA;NA;NA;NA;NA;NA
501015;NA;NA;NA;NA;NA;NA;NA;NA;Neues Kennwort eingeben;New Password;"
Yeni bir şifre seçin
";Neues Kennwort eingeben;New Password;New Password
501016;NA;NA;NA;NA;NA;NA;NA;NA;Neues Kennwort bestätigen;Re-enter Password;Yeni şifreyi tekrarlayın;Neues Kennwort bestätigen;Re-enter Password;Re-enter Password
501017;;;;;NA;NA;NA;NA;ID 501017;Host name contains invalid characters.;;NA;NA;Host name contains invalid characters.
502001;Firmware Update;Firmware-Aktualisierung;Firmware güncelleme;Firmware Update;Firmware Update;Actualización de firmware;Firmware Update;;Firmware-Aktualisierung;Firmware Update;Firmware güncelleme;Firmware-Aktualisierung;Firmware Update;Firmware Update
502002;It is possible to update the EasyBox firmware. Your customised configuration settings will not be changed or affected by upgrading.;Sie können die Firmware Ihrer EasyBox per Internet aktualisieren, vorrausgesetzt Ihr Internet ist erreichbar. Durch die Aktualisierung werden Ihre persönlichen Einstellungen nicht verändert.;Eğer internet bağlantınız varsa, EasyBox cihazınızın firmware güncellemesini internet üzerinden yapabilirsiniz. Güncelleme sayesinde kişisel ayarlarınız değiştirilmez.;It is possible to update the EasyBox firmware. Your customised configuration settings will not be changed or affected by upgrading.;It is possible to update the router firmware. Your customised configuration settings will not be changed or affected by upgrading.;Es posible actualizar el firmware del router. Sus opciones de configuración personalizada no se verán afectadas por la actualización.;It is possible to update the EasyBox firmware. Your customised configuration settings will not be changed or affected by upgrading.;;Die EasyBox installiert automatisch immer die neueste verfügbare Firmware. Bei Bedarf können Sie hier die Firmware auch manuell installieren. Durch die Aktualisierung werden Ihre persönlichen Einstellungen nicht verändert.;The Easybox automatically install the latest firmware release available. If necessary, it is possible to update the Easybox firmware manually. Your current settings will not be affected by software upgrading procedure.;Eğer internet bağlantınız varsa, EasyBox cihazınızın firmware güncellemesini internet üzerinden yapabilirsiniz. Güncelleme sayesinde kişisel ayarlarınız değiştirilmez.;Die EasyBox installiert automatisch immer die neueste verfügbare Firmware. Bei Bedarf können Sie hier die Firmware auch manuell installieren. Durch die Aktualisierung werden Ihre persönlichen Einstellungen nicht verändert.;The Easybox automatically install the latest firmware release available. If necessary, it is possible to update the Easybox firmware manually. Your current settings will not be affected by software upgrading procedure.;The PlusBox automatically install the latest firmware release available. If necessary, it is possible to update the PlusBox firmware manually. Your current settings will not be affected by software upgrading procedure.
502003;Current Firmware Version;Aktuelle Firmware-Version;Güncel Firmware versiyonu;Current Firmware Version;Current Firmware Version;Versión actual del firmware;Current Firmware Version;;Aktuelle Firmware-Version;Current Firmware Version;Güncel Firmware versiyonu;Aktuelle Firmware-Version;Current Firmware Version;Current Firmware Version
502004;Update Firmware;Firmware aktualisieren;Firmware güncelleme;Update Firmware;Update Firmware;Actualización de Firmware;Update Firmware;;Firmware aktualisieren;Firmware Update;Firmware güncelleme;Firmware aktualisieren;Firmware Update;Firmware Update
502005;Online Update;Online-Aktualisierung;Online güncelleme;Online Update;Online Update;Actualización en línea;Online Update;;Online-Aktualisierung;Online Update;Online güncelleme;Online-Aktualisierung;Online Update;Online Update
502006;Click to check for updated software. If newer firmware is found, it will automatically be installed. (Internet connection neccessary);Klicken Sie, um nach aktueller Software zu prüfen. Wenn eine neuere Version gefunden wird, dann wird diese automatisch installiert. (Internetverbindung erforderlich);Güncel yazılıma yönelik kontrol için tıklayınız. Eğer daha yeni bir versiyon bulunursa, bu versiyon otomatik olarak kurulur. (İnternet bağlantısı gereklidir);Click to check for updated software. If newer firmware is found, it will automatically be installed. (Internet connection neccessary);Click to check for updated software. If newer firmware is found, it will automatically be installed. (Internet connection neccessary);Haga clic para verificar si hay actualizaciones de software. Si se encuentra alguna versión más nueva del firmware, se instalará automáticamente. (Es necesario tener conexión a Internet);Click to check for updated software. If newer firmware is found, it will automatically be installed. (Internet connection neccessary);;Klicken Sie hier, um nach einer aktuellen Firmware zu suchen. Wenn eine neuere Firmware-Version verfügbar ist, wird diese automatisch installiert (Internetverbindung erforderlich).;"Click ""Check for Update"" to start an online software upgrade. If a newer firmware is found, it will be automatically installed on your EasyBox (Internet connection required).";Güncel yazılıma yönelik kontrol için tıklayınız. Eğer daha yeni bir versiyon bulunursa, bu versiyon otomatik olarak kurulur. (İnternet bağlantısı gereklidir);Klicken Sie hier, um nach einer aktuellen Firmware zu suchen. Wenn eine neuere Firmware-Version verfügbar ist, wird diese automatisch installiert (Internetverbindung erforderlich).;"Click ""Check for Update"" to start an online software upgrade. If a newer firmware is found, it will be automatically installed on your EasyBox (Internet connection required).";"Click ""Check for Update"" to start an online software upgrade. If a newer firmware is found, it will be automatically installed on your PlusBox (Internet connection required)."
502007;Manual Firmware Update;Manuelle Firmware-Aktualisierung;Manüel Firmware güncelleme;Manual Firmware Update;Manual Firmware Update;Actualización manual de firmware;Manual Firmware Update;;Manuelle Firmware-Aktualisierung;Manual Firmware Update;Manüel Firmware güncelleme;Manuelle Firmware-Aktualisierung;Manual Firmware Update;Manual Firmware Update
502008;It is possible to update the firmware from a saved update file. The latest available version can be found on <a href='http://www.dsl-easybox.de' target='_blank'>www.dsl-easybox.de</a>.;Sie können die Firmware-Aktualisierung mit einer gespeicherten Datei ausführen Die neueste verfügbare Version finden Sie unter <a href='http://www.dsl-easybox.de' target='_blank'>www.dsl-easybox.de</a>.;Firmware güncelleme işlemini kayıtlı bir dosya ile gerçekleştirebilirsiniz. En yeni kullanılabilir versiyonu şurada bulabilirsiniz <a href='http://www.dsl-easybox.de' target='_blank'>www.dsl-easybox.de</a>.;It is possible to update the firmware from a saved update file. The latest available version can be found on <a href='http://www.dsl-easybox.de' target='_blank'>www.dsl-easybox.de</a>.;It is possible to update the firmware from a saved update file. ;Es posible actualizar el firmware desde un fichero guardado en el PC.;It is possible to update the firmware from a saved update file. The latest available version can be found on <a href='http://www.dsl-easybox.de' target='_blank'>www.dsl-easybox.de</a>.;;Sie können sich die Firmware unter <a href='http://www.dsl-easybox.de' target='_blank'>www.dsl-easybox.de</a> herunterladen und hier installieren.;It is possible to update the firmware from a saved update file. The latest available version can be found on <a href='http://www.dsl-easybox.de' target='_blank'>www.dsl-easybox.de</a>.;En yeni kullanılabilir Firmware versiyonu burda bulabilirsiniz <a href='http://www.dsl-easybox.de' target='_blank'>www.dsl-easybox.de</a>.;Sie können sich die Firmware unter <a href='http://www.dsl-easybox.de' target='_blank'>www.dsl-easybox.de</a> herunterladen und hier installieren.;It is possible to update the firmware from a saved update file. The latest available version can be found on <a href='http://www.dsl-easybox.de' target='_blank'>www.dsl-easybox.de</a>.;It is possible to update the firmware from a saved update file. The latest available version can be found on <a href='http://www.dsl-plusbox.de' target='_blank'>www.dsl-plusbox.de</a>.
502009;Firmware File;Firmware Datei;Firmware dosyası;Firmware File;Firmware File;Fichero de firmware;Firmware File;;Firmware Datei;Firmware File;Firmware dosyası;Firmware Datei;Firmware File;Firmware File
502010;No file selected.;Keine Datei ausgewählt;Dosya seçilmedi;No file selected.;No file selected.;Ningún archivo seleccionado.;No file selected.;;Keine Datei ausgewählt;No file selected.;Dosya seçilmedi;Keine Datei ausgewählt;No file selected.;No file selected.
502011;USB Firmware Update;USB Firmware-Aktualisierung;USB Firmware güncelleme;USB Firmware Update;USB Firmware Update;Actualización de firmware por USB;USB Firmware Update;;USB Firmware-Aktualisierung;USB Firmware Update;USB Firmware güncelleme;USB Firmware-Aktualisierung;USB Firmware Update;USB Firmware Update
