ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
700000;en;de;tr;nz;en-es;es-es;nz;;de;en;tr;;;en
700001;Apply;Bestätigen;Uygula;Apply;Apply;Aplicar;Apply;Applica;Bestätigen;Apply;Uygula;Bestätigen;Apply;Apply
700002;Cancel;Abbrechen;İptal;Cancel;Cancel;Cancelar;Cancel;Annulla;Abbrechen;Cancel;İptal;Abbrechen;Cancel;Cancel
700003;on;an;Açık;on;on;On;on;on;an;on;Açık;an;on;on
700004;off;aus;Kapalı;off;off;Off;off;off;aus;off;Kapalı;aus;off;off
700005;Display Characters;Zeichen einblenden;Karakterleri göster;Display Characters;Display Characters;Mostrar los caracteres;Display Characters;;Zeichen einblenden;Display Characters;Karakterleri göster;Zeichen einblenden;Display Characters;Display Characters
700006;Change Password;Kennwort ändern;Şifreyi değiştir;Change Password;Change Password;Cambiar contraseña;Change Password;;Kennwort ändern;Change Password;Şifreyi değiştir;Kennwort ändern;Change Password;Change Password
700007;Individual Days;Individuelle Tage;Özel günler ;Individual Days;Individual Days;Días individuales;Individual Days;;Individuelle Tage;Individual Days;Özel günler ;Individuelle Tage;Individual Days;Individual Days
700008;Every Day;Jeden Tag;Her gün;Every Day;Every Day;Todos los días;Every Day;;Jeden Tag;Every Day;Her gün;Jeden Tag;Every Day;Every Day
700009;Every Workday;Jeden Werktag;Her iş günü;Every Workday;Every Workday;Cada día laborable;Every Workday;;Jeden Werktag;Every Workday;Her iş günü;Jeden Werktag;Every Workday;Every Workday
700010;All Weekend;Jedes Wochenende;Her hafta sonu;All Weekend;All Weekend;Fin de semana completo;All Weekend;;Jedes Wochenende;All Weekend;Her hafta sonu;Jedes Wochenende;All Weekend;All Weekend
700011;Disabled;Deaktiviert;Devre dışı;Disabled;Disabled;Desactivado;Disabled;;Deaktiviert;Disabled;Devre dışı;Deaktiviert;Disabled;Disabled
700012;Enabled;Aktiviert;Etkin;Enabled;Enabled;Activado;Enabled;;Aktiviert;Enabled;Etkin;Aktiviert;Enabled;Enabled
700013;Select Individual Days;Individuelle Tage wählen;Özel günler seç;Select Individual Days;Select Individual Days;Seleccione días;Select Individual Days;;Individuelle Tage wählen;Select Individual Days;Özel günler seç;Individuelle Tage wählen;Select Individual Days;Select Individual Days
700014;Monday;Montag;Pazartesi;Monday;Monday;Lunes;Monday;;Montag;Monday;Pazartesi;Montag;Monday;Monday
700015;Tuesday;Dienstag;Salı;Tuesday;Tuesday;Martes;Tuesday;;Dienstag;Tuesday;Salı;Dienstag;Tuesday;Tuesday
700016;Wednesday;Mittwoch;Çarşamba;Wednesday;Wednesday;Miércoles;Wednesday;;Mittwoch;Wednesday;Çarşamba;Mittwoch;Wednesday;Wednesday
700017;Thursday;Donnerstag;Perşembe;Thursday;Thursday;Jueves;Thursday;;Donnerstag;Thursday;Perşembe;Donnerstag;Thursday;Thursday
700018;Friday;Freitag;Cuma;Friday;Friday;Viernes;Friday;;Freitag;Friday;Cuma;Freitag;Friday;Friday
700019;Saturday;Samstag;Cumartesi;Saturday;Saturday;Sábado;Saturday;;Samstag;Saturday;Cumartesi;Samstag;Saturday;Saturday
700020;Sunday;Sonntag;Pazartesi;Sunday;Sunday;Domingo;Sunday;;Sonntag;Sunday;Pazartesi;Sonntag;Sunday;Sunday
700021;Pair;Verbinden;Birleştir;Pair;Pair;Emparejar;Pair;;Verbinden;Pair;Birleştir;Verbinden;Pair;Pair
700022;Change;Ändern;Değiştir;Change;Change;Cambiar;Change;;Ändern;Change;Değiştir;Ändern;Change;Change
700023;Allow;Zulassen;İzin ver;Allow;Allow;Permitir;Allow;;Zulassen;Allow;İzin ver;Zulassen;Allow;Allow
700024;Deny;Verbieten;Yasakla;Deny;Deny;Denegar;Deny;;Verbieten;Deny;Yasakla;Verbieten;Deny;Deny
700025;Refresh;Aktualisieren;Güncelle;Refresh;Refresh;Actualizar;Refresh;Aggiorna;Aktualisieren;Refresh;Güncelle;Aktualisieren;Refresh;Refresh
700026;%s users logged in;%s Benutzer eingeloggt;%s Kullanıcı sistemde;%s users logged in;%s users logged in;Usuarios %s registrado;%s users logged in;%s utenti collegati;%s Benutzer eingeloggt;%s users logged in;%s Kullanıcı sistemde;%s Benutzer eingeloggt;%s users logged in;%s users logged in
700027;Reset;Zurücksetzen;Sıfırla;Reset;Reset;Reset;Reset;;Zurücksetzen;Reset;Sıfırla;Zurücksetzen;Reset;Reset
700028;password;Kennwort;Şifre;password;password;contraseña;password;;Kennwort;password;Şifre;Kennwort;password;password
