ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
1200001;Port %0 is already in use.;Port %0 wird schon benutzt;Port %0 kullanılıyor.;Port %0 is already in use.;Port %0 is already in use.;Puerto %0 ya está en uso.;Port %0 is already in use.;;Port %0 wird schon benutzt;Port %0 is already in use.;Port %0 kullanılıyor.;;;Port %0 is already in use.
1200002;Invalid APN;Ungültige APN;Geçersiz APN;Invalid APN;Invalid APN;APN no válido;Invalid APN;;Ungültige APN;Invalid APN;Geçersiz APN;;;Invalid APN
1200003;Invalid IP address;Ungültige IP Adresse;Geçersiz IP adresi;Invalid IP address;Invalid IP address;Dirección IP no válida;Invalid IP address;;Ungültige IP-Adresse;Invalid IP address;Geçersiz IP adresi;;;Invalid IP address
1200004;IP address must be within configured DHCP pool;Die IP-Adresse muss innerhalb des konfigurierten DHCP-Bereiches liegen.;IP adresi DHCP Pool içinde olması gerekir;IP address must be within configured DHCP pool;IP address must be within configured DHCP pool;La dirección IP debe estar dentro del rango DHCP configurado;IP address must be within configured DHCP pool;;Die IP-Adresse muss innerhalb des konfigurierten DHCP-Bereiches liegen.;IP address must be within configured DHCP pool;IP adresi DHCP Pool içinde olması gerekir;;;IP address must be within configured DHCP pool
1200005;DMZ IP address must be within the Home network subnet;Die DMZ-IP-Adresse muss innerhalb des Heimnetzwerk-Subnetztes liegen.;DMZ IP adresi ev ağı Subnet içinde olmalıdır;DMZ IP address must be within the Home network subnet;DMZ IP address must be within the Home network subnet;La dirección IP DMZ debe estar dentro de la subred de la red doméstica;DMZ IP address must be within the Home network subnet;;Die DMZ-IP-Adresse muss innerhalb des Heimnetzwerk-Subnetztes liegen.;DMZ IP address must be within the Home network subnet;DMZ IP adresi ev ağı Subnet içinde olmalıdır;;;DMZ IP address must be within the Home network subnet
1200006;Entered IP address is in conflict with the EasyBox IP address;Die eingegebene IP-Adresse wird schon von der EasyBox genutzt.;Girilen IP adresi EasyBox´un IP adresi çatışma içinde;Entered IP address is in conflict with the EasyBox IP address;Entered IP address is in conflict with the router IP address;La dirección IP está en conflicto con la dirección IP del router;Entered IP address is in conflict with the EasyBox IP address;;Die eingegebene IP-Adresse wird schon von der EasyBox genutzt.;Entered IP address is in conflict with the EasyBox IP address;Girilen IP adresi EasyBox´un IP adresi çatışma içinde;;;Entered IP address is in conflict with the EasyBox IP address
1200007;WPS PIN code is invalid.;WPS PIN-Code ist ungültig;WPS PIN kodu geçersizdir.;WPS PIN code is invalid.;WPS PIN code is invalid.;El PIN de WPS no es válido;WPS PIN code is invalid.;;WPS PIN-Code ist ungültig;WPS PIN code is invalid.;WPS PIN kodu geçersizdir.;;;WPS PIN code is invalid.
1200008;Phone number already exists.;Die Rufnummer existiert bereits;Telefon numarası zaten var.;Phone number already exists.;Phone number already exists.;Ya existe el número de teléfono;Phone number already exists.;;Die Rufnummer existiert bereits;Phone number already exists.;Telefon numarası zaten var.;;;Phone number already exists.
1200009;NA;NA;NA;NA;NA;NA;NA;NA;Falsches derzeitiges Kennwort;Invalid Current Password;Geçersiz şifre;;;Invalid Current Password
1200010;NA;NA;NA;NA;NA;NA;NA;NA;Host Name beinhaltet unzulässige Sonderzeichen.;Host name contains invalid characters.;Bilgisayar adı geçersiz karakterler içeriyor.;;;Host name contains invalid characters.
1200011;NA;NA;NA;NA;NA;NA;NA;NA;Die IP-Adresse ist nicht im IP-Subnetz;IP is not in device subnet;IP adress IP-subnet'e bulunmamaktadir;;;IP is not in device subnet
1200012;NA;NA;NA;NA;NA;NA;NA;NA;Falscher Domänenname;Invalid domain name;Geçersiz alan adı;;;Invalid domain name
1200013;NA;NA;NA;NA;NA;NA;NA;NA;Die gewählte IP-Adresse wird schon von einem anderen Gerät genutzt.;IP address you provided has already been assigned to another device.;Kullanmak istediğiniz IP adresi şuan başka bir cihaza aittir.;;;IP address you provided has already been assigned to another device.
1200014;NA;NA;NA;NA;NA;NA;NA;NA;Falsches EasyBox-Kennwort;Wrong EasyBox Password;"Yanlış şifre
";;;Wrong EasyBox Password
1200015;NA;NA;NA;NA;NA;NA;NA;NA;Das aktuelle Kennwort ist falsch. Bitte geben Sie das aktuell gültige Kennwort erneut ein.;The current Password you entered was incorrect. Please type in the current valid Password.;Kullandiginiz şifre yanlıştır. Mevcut geçerli şifreyi kullanın.;;;The current Password you entered was incorrect. Please type in the current valid Password.
