1000;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it
1001;Phone;Telefonie;Telefon;Phone;NA;NA;NA;NA
1002;Voicemail;Nachrichten;Mesajlar;Voicemail;NA;NA;NA;NA
1003;Settings;Einstellungen;Ayarlar;Settings;NA;NA;NA;NA
1004;WiFi;W-LAN;WiFi;WiFi;NA;NA;NA;NA
1005;Overview;Übersicht;Durum;Overview;NA;NA;NA;NA
1006;Internet;Internet;İnternet;Internet;NA;NA;NA;NA
1007;LTE;LTE;4G;LTE;NA;NA;NA;NA
1008;DSL;DSL;DSL;DSL;NA;NA;NA;NA
1009;UMTS;UMTS;3G;UMTS;NA;NA;NA;NA
1010;Fibre;Fibre;Fibre;Fibre;NA;NA;NA;NA
1011;NA;NA;NA;Messages;NA;NA;NA;NA
2001;Private - Landline;Privat - Festnetz;Özel – Sabit hat;Private - Landline;NA;NA;NA;NA
2002;Private - Mobile;Privat - Mobilfunk;Özel – Mobil hat;Private - Mobile;NA;NA;NA;NA
2003;Work - Landline;Dienstlich - Festnetz;İş –  Sabit hat;Work - Landline;NA;NA;NA;NA
2004;Work - Mobile;Dienstlich - Mobilfunk;İş –  Mobil hat;Work - Mobile;NA;NA;NA;NA
2005;Delete;Löschen;Sil;Delete;NA;NA;NA;NA
2006;Delete All;Alles löschen;Tümünü sil;Delete All;NA;NA;NA;NA
2007;Are you really sure you want to delete the call?;Sind Sie sicher, dass Sie diesen Anruf löschen wollen?;Bu aramayı silmek istediğinizden emin misiniz?;Are you really sure you want to delete the call?;NA;NA;NA;NA
2008;Are you really sure you want to delete all calls?;Sind Sie sicher, dass Sie alle Anrufe löschen wollen?;Tüm aramaları silmek istediğinizden emin misiniz?;Are you really sure you want to delete all calls?;NA;NA;NA;NA
2009;The call previously selected has been deleted successfully!;Der zuvor gewählte Anruf wurde erfolgreich gelöscht.;Daha önce seçilen arama başarıyla silindi.;The call previously selected has been deleted successfully!;NA;NA;NA;NA
2010;All calls previously selected have been deleted successfully!;Alle zuvor gewählte Anrufe wurden erfolgreich gelöscht.;Daha önce seçilen tüm aramalar başarıyla silindi.;All calls previously selected have been deleted successfully!;NA;NA;NA;NA
2011;No calls;Keine Anrufe;Arama yok;No calls;NA;NA;NA;NA
2012;Unknown;Unbekannt;Anonim;Unknown;NA;NA;NA;NA
2013;Other;Andere;Diğer;Other;NA;NA;NA;NA
2014;NA;NA;NA;All calls;NA;NA;NA;NA
2015;NA;NA;NA;Calls Line 1;NA;NA;NA;NA
2016;NA;NA;NA;Calls Line 2;NA;NA;NA;NA
2017;NA;NA;NA;Line 1;NA;NA;NA;NA
2018;NA;NA;NA;Line 2;NA;NA;NA;NA
2019;NA;NA;NA;Call;NA;NA;NA;NA
2020;NA;NA;NA;Calling;NA;NA;NA;NA
