ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
902001;Call Log;Anrufliste;Arama listesi;Call Log;Call Log;Registro de llamadas;Call Log;Registro Chiamate;Anrufliste;Call Log;Arama listesi;Anrufliste;Call Log;Call Log
902002;Contacts;Kontakte;Kişiler;Contacts;Contacts;Contactos;Contacts;;Kontakte;Contacts;Kişiler;Kontakte;Contacts;Contacts
902003;Voicemail;Anrufbeantworter;Telesekreter;Voicemail;Voicemail;Voicemail;Voicemail;;Anrufbeantworter;Voicemail;Telesekreter;Anrufbeantworter;Voicemail;Voicemail
902004;Greeting Messages;Ansagetexte;Karşılama mesajları;Greeting Messages;Greeting Messages;Mensajes de felicitación;Greeting Messages;;Ansagetexte;Greeting Messages;Karşılama mesajları;Ansagetexte;Greeting Messages;Greeting Messages
902005;Message Forwarding;Nachrichten weiterleiten;Mesaj iletme;Message Forwarding;Message Forwarding;Reenvío de mensajes;Message Forwarding;;Nachrichten weiterleiten;Message Forwarding;Mesaj iletme;Nachrichten weiterleiten;Message Forwarding;Message Forwarding
902006;Fax;Fax;Faks;Fax;Fax;Fax;Fax & POS;Fax e POS;Fax;Fax;Faks;Fax;Fax;Fax
902007;Wake Up Call;Weckruf;Uyandırma çağrısı;Wake Up Call;Wake Up Call;Servicio despertador;Wake Up Call;;Weckruf;Wake Up Call;Uyandırma çağrısı;Weckruf;Wake Up Call;Wake Up Call
902008;Call Forwarding;Anrufweiterleitung;Arama yönlendirme;Call Forwarding;Call Forwarding;Desvío de llamadas;Call Forwarding;;Anrufweiterleitung;Call Forwarding;Arama yönlendirme;Anrufweiterleitung;Call Forwarding;Call Forwarding
902009;Number Blocking;Rufnummernsperre;Numara engelleme;Number Blocking;Number Blocking;Número bloqueo;Number Blocking;;Rufnummernsperre;Number Blocking;Numara engelleme;Rufnummernsperre;Number Blocking;Number Blocking
902010;Ringing Schedule;Zeitplan;Zaman çizelgesi;Ringing Schedule;Ringing Schedule;No molestar;Ringing Schedule;;Zeitplan;Ringing Schedule;Zaman çizelgesi;Zeitplan;Ringing Schedule;Ringing Schedule
902011;Phone Numbers;Rufnummernzuordnung;Telefon numaraları;Phone Numbers;Phone Numbers;Números de Teléfono;Phone Numbers;;Rufnummernzuordnung;Phone Numbers;Telefon numaraları;Rufnummernzuordnung;Phone Numbers;Phone Numbers
902012;Incoming;Ankommend;Arayan numaralar;Incoming;Incoming;Entrante;Incoming;;Ankommend;Incoming;Arayan numaralar;Ankommend;Incoming;Incoming
902013;Outgoing;Abgehend;Aranan numaralar;Outgoing;Outgoing;Saliente;Outgoing;;Abgehend;Outgoing;Aranan numaralar;Abgehend;Outgoing;Outgoing
902014;Phone Settings;Telefon-Einstellungen;Telefon ayarları;Phone Settings;Phone Settings;Ajustes VoIP;Phone Settings;;Telefon-Einstellungen;Phone Settings;Telefon ayarları;Telefon-Einstellungen;Phone Settings;Phone Settings
902015;Speed Dialing;Schnellwahl;Hızlı arama;Speed Dialing;Speed Dialing;Marcación rápida;Speed Dialing;Chiamate Rapide;Schnellwahl;Speed Dialling;Hızlı arama;Schnellwahl;Speed Dialling;Speed Dialling
902016;Call Waiting;Anklopfen;Çağrı bekletme;Call Waiting;Call Waiting;Llamada en espera;Call Waiting;Avviso di Chiamata;Anklopfen;Call Waiting;Çağrı bekletme;Anklopfen;Call Waiting;Call Waiting
902017;Caller ID Restriction;Rufnummernunterdrückung;Çağrı kısıtlama;Caller ID Restriction;Caller ID Restriction;Restricción de ID llamante;Caller ID Restriction;Nascondi numero;Rufnummernunterdrückung;Caller ID Restriction;Çağrı kısıtlama;Rufnummernunterdrückung;Caller ID Restriction;Caller ID Restriction
902018;SIP Proxy;SIP Proxy;SIP Proxy;SIP;SIP;SIP;SIP;;SIP Proxy;SIP Proxy;SIP Proxy;SIP Proxy;SIP Proxy;SIP Proxy
902019;NA;NA;NA;NA;Call Settings;Ajustes de llamada;NA;;NA;NA;NA;NA;NA;Network
902020;SmartHome App;;SmartHome App;NA;NA;NA;NA;;SmartHome App;SmartHome App;SmartHome App;SmartHome App;SmartHome App;WLAN
903001;Firewall;Firewall;Güvenlik duvarı;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Güvenlik duvarı;Firewall;Firewall;Firewall
903002;Parental Control;Parental Control;Ebeveyn kontrolü;Access Control;Parental Control;Control Parental;Access Control;;Parental Control;Parental Control;Ebeveyn kontrolü;Parental Control;Parental Control;Parental Control
903003;LTE & UMTS;LTE & UMTS;4G & 3G;LTE & UMTS;LTE & UMTS;LTE y UMTS;LTE & UMTS;;LTE & UMTS;LTE & UMTS;4G & 3G;LTE & UMTS;LTE & UMTS;LTE & UMTS
903004;NAT;NAT;NAT;NAT;NAT;NAT;NAT;;NAT;NAT;NAT;NAT;NAT;NAT
903005;Port Mapping;Port-Mapping;Port eşleştirme;Port Mapping;Port Mapping;Redirección de Puertos;Port Mapping;Port Mapping;Port-Mapping;Port Mapping;Port eşleştirme;Port-Mapping;Port Mapping;Port Mapping
903006;Exposed Host;Exposed Host;Exposed Host;Exposed Host;DMZ;DMZ;Exposed Host;Exposed Host;Exposed Host;Exposed Host;Exposed Host;Exposed Host;Exposed Host;DMZ
903007;NAT Mapping Table;NAT Verknüpfungstabelle;NAT eşleştirme tablosu;NAT Mapping Table;NAT Mapping Table;Tabla NAT;NAT Mapping Table;;NAT Verknüpfungstabelle;NAT Mapping Table;NAT eşleştirme tablosu;NAT Verknüpfungstabelle;NAT Mapping Table;NAT Mapping Table
903008;DNS & DDNS;DNS & DDNS;DNS & DDNS;DNS & DDNS;DynDNS;DynDNS;DNS & DDNS;DNS e DDNS;DNS & DDNS;DNS & DDNS;DNS & DDNS;DNS & DDNS;DNS & DDNS;DNS & DDNS
903009;Remote Management;Fernverwaltung;Uzaktan yönetim;Remote Management;Remote Management;Gestión remota;Remote Management;Accesso Remoto;Fernverwaltung;Remote Management;Uzaktan yönetim;Fernverwaltung;Remote Management;Remote Management
903010;VPN;VPN;VPN;VPN;VPN;VPN;VPN;VPN;VPN;VPN;VPN;VPN;VPN;VPN
903011;DSL & UMTS;DSL & UMTS;DSL & 3G;DSL & UMTS;DSL & UMTS;DSL y UMTS;DSL & UMTS;DSL e Internet Key;DSL & UMTS;DSL & UMTS;DSL & 3G;DSL & UMTS;DSL & UMTS;DSL
903012;Prefix-Mode IPv6;Präfix-Modus IPv6;Ön ek modu IPv6;Prefix-Mode IPv6;Prefix-Mode IPv6;Prefix-Mode IPv6;Prefix-Mode IPv6;IPv6;Präfix-Modus IPv6;Prefix-Mode IPv6;Ön ek modu IPv6;Präfix-Modus IPv6;Prefix-Mode IPv6;Prefix-Mode IPv6
903013;NA;NA;NA;NA;WAN;WAN;NA;;NA;NA;NA;NA;NA;Guest WLAN
903014;NA;NA;NA;NA;ADSL;ADSL;NA;;NA;NA;NA;NA;NA;Reset & Reboot
903015;NA;NA;NA;NA;UMTS;UMTS;NA;;NA;NA;NA;NA;NA;NA
903016;NA;NA;NA;NA;UMTS;UMTS;NA;;NA;NA;NA;NA;NA;NA
903017;NA;NA;NA;NA;xDSL;xDSL;NA;;NA;NA;NA;NA;NA;NA
903018;NA;NA;NA;NA;Policy Routing;Policy Routing;NA;;NA;NA;NA;NA;NA;NA
903019;NA;NA;NA;NA;TV Settings;;NA;;NA;NA;NA;NA;NA;NA
904001;General;Allgemein;Genel;General;General;General;Primary;;Allgemein;General;Genel;Allgemein;General;General
904002;Schedule;Zeitplan;Zaman çizelgesi;Schedule;Schedule;Programar;Schedule;;Zeitplan;Schedule;Zaman çizelgesi;Zeitplan;Schedule;Schedule
904003;WPS;WPS;WPS;WPS;WPS;WPS;WPS;;WPS;WPS;WPS;WPS;WPS;WPS
904004;MAC Filter;MAC Filter;MAC filtresi;MAC Filter;MAC Filter;Filtro MAC;MAC Filter;;MAC Filter;MAC Filter;MAC filtresi;MAC Filter;MAC Filter;MAC Filter
904005;WDS;WDS;WDS;WDS;WDS;WDS;WDS;;WDS;WDS;WDS;WDS;WDS;WDS
904006;Settings;Einstellungen;Ayarlar;Settings;Settings;Configuración;Settings;;Einstellungen;Settings;Ayarlar;Einstellungen;Settings;Advanced Settings
904007;NA;NA;NA;NA;NA;NA;Guest;;NA;NA;NA;NA;NA;NA
904008;NA;NA;NA;NA;VF WiFi network;Red WiFi Vodafone;NA;NA;ID 904008;VF WiFi network;Vodafone WiFI Ağı;ID 904008;VF WiFi network;VF WiFi network
905001;Password;Kennwort;Şifre;Password;Password;Contraseña;Password;;EasyBox-Kennwort;EasyBox Password;EasyBox Şifre;EasyBox-Kennwort;EasyBox Password;Password
905002;Firmware Update;Firmware-Aktualisierung;Firmware güncelleme;Firmware Update;Firmware Update;Firmware Update;Firmware Update;;Firmware-Aktualisierung;Firmware Update;Firmware güncelleme;Firmware-Aktualisierung;Firmware Update;Firmware Update
905003;USB;USB;USB;USB;USB;USB;USB;;USB;USB;USB;USB;USB;USB
905004;DLNA;DLNA;DLNA Streaming;DLNA;DLNA;DLNA;DLNA;;DLNA;DLNA;DLNA Streaming;DLNA;DLNA;DLNA
905005;Content Sharing;Content Sharing;Content Sharing;Content Sharing;Content Sharing;Compartir contenido;Content Sharing;;Content Sharing;Content Sharing;Content Sharing;Content Sharing;Content Sharing;Content Sharing
905006;Energy Settings;Stromspar-Einstellungen;Enerji tasarrufu ayarları;Energy Settings;Energy Settings;Configuración de energía;Energy Settings;;Stromspar-Einstellungen;Energy Settings;Enerji tasarrufu ayarları;Stromspar-Einstellungen;Energy Settings;Energy Settings
905007;Configuration;Konfiguration;Konfigürasyon;Configuration;Configuration;Configuración;Configuration;;Konfiguration;Configuration;Konfigürasyon;Konfiguration;Configuration;Configuration
905008;Certificates;Zertifikate;Sertifikalar;Certificates;Certificates;Certificados;Certificates;;Zertifikate;Certificates;Sertifikalar;Zertifikate;Certificates;Certificates
905009;LAN;LAN;LAN;LAN;LAN;LAN;LAN;;LAN;LAN;LAN;LAN;LAN;LAN
905010;Network Share (Samba);Netzwerk-Freigaben;Network Share (Samba);Network Share (Samba);Network Share (Samba);Comp. de red (Samba);Network Share (Samba);;Netzwerk-Freigaben;Network Share (Samba);Network Share (Samba);Netzwerk-Freigaben;Network Share (Samba);Network Share (Samba)
905011;FTP;FTP;FTP;FTP;FTP;FTP;FTP;;FTP;FTP;FTP;FTP;FTP;FTP
905012;WebDAV;WebDAV;WebDAV;WebDAV;WebDAV;WebDAV;WebDAV;;WebDAV;WebDAV;WebDAV;WebDAV;WebDAV;WebDAV
905013;IPv4;IPv4;IPv4;IPv4;IPv4;IPv4;IPv4;;Netzwerk;Network;Network;Netzwerk;Network;Network
905014;IPv6;IPv6;IPv6;IPv6;IPv6;IPv6;IPv6;;IPv6;IPv6;IPv6;IPv6;IPv6;IPv6
905015;NA;NA;NA;Language;Language;Idioma;Language;Lingua;NA;NA;NA;NA;NA;NA
905016;NA;NA;NA;DHCP Reservation;DHCP Reservation;Reserva DHCP;DHCP Reservation;;NA;NA;NA;NA;NA;NA
905017;External Antennas;Externe Antennen;Harici Antenler;External Antennas;External Antennas;Antenas Externas;External Antennas;;Externe Antennen;External Antennas;Harici Antenler;Externe Antennen;External Antennas;External Antennas
905018;NA;NA;NA;NA;QoS;QoS;NA;;NA;NA;NA;NA;NA;NA
905019;NA;NA;NA;NA;TR-069;TR-069;NA;;NA;NA;NA;NA;NA;NA
905020;NA;NA;NA;NA;SNMP;SNMP;NA;;NA;NA;NA;NA;NA;NA
905021;NA;NA;NA;NA;Language;Idioma;NA;;NA;NA;NA;NA;NA;NA
905022;NA;NA;NA;NA;NA;NA;Customer Information;;NA;NA;NA;NA;NA;NA
905023;NA;NA;NA;NA;IPv6 Basic Configuration;Configuración IPv6;NA;;NA;NA;NA;NA;NA;NA
906001;Status;Status;Durum;Status;Status;Estado;Status;;Status;Status;Durum;Status;Status;Status
906002;LTE Status;LTE Status;4G durumu;LTE Status;LTE Status;Estado 3G;LTE Status;;LTE Status;LTE Status;4G durumu;LTE Status;LTE Status;LTE Status
906003;Voice Status;Telefonie Status;Konuşma durumu;Voice Status;Voice Status;Estado de voz;Voice Status;;Telefon;Voice;Konuşma;Telefon;Voice;Voice
906004;Diagnostic Utility;Diagnose-Tool;Teşhis aracı;Diagnostic Utility;Diagnostic Utility;Utilidad de diagnóstico;Diagnostic Utility;;Diagnose-Programme;Diagnostic Utility;Teşhis aracı;Diagnose-Programme;Diagnostic Utility;Diagnostic Utility
906005;Help;Hilfe;Yardım;Help;Help;Ayuda;Help;;Hilfe;Help;Yardım;Hilfe;Help;Help
906006;Event Log;Ereignis-Logbuch;Olay günlüğü;Event Log;Event Log;Syslog;Event Log;;Ereignis-Logbuch;Event Log;Olay günlüğü;Ereignis-Logbuch;Event Log;Event Log
906007;Restart;Neustart;Yeniden başlat;Restart;Restart;Reiniciar;Restart;;Neustart;Restart;Yeniden başlat;Neustart;Restart;Reset & Reboot
906008;About;Über;Hakkında;About;About;Acerca de;About;;Über;About;Hakkında;Über;About;About
906009;DSL Status;DSL Status;DSL durumu;DSL Status;DSL Status;Estado ADSL;DSL Status;;DSL;DSL;DSL;DSL;DSL;DSL
906010;UMTS Status;UMTS Status;3G durumu;UMTS Status;UMTS Status;Estado UMTS;UMTS Status;;UMTS;UMTS;3G;UMTS;UMTS;UMTS
906011;Vodafone TV Status;Vodafone TV Status;Vodafone TV durumu;Vodafone TV Status;Vodafone TV Status;Estado Vodafone TV;Vodafone TV Status;;Vodafone TV;Vodafone TV;Vodafone TV;Vodafone TV;Vodafone TV;Vodafone TV
906012;NA;NA;NA;NA;ADSL Status;Estado ADSL;NA;;NA;NA;NA;NA;NA;NA
906013;NA;NA;NA;NA;WAN Status;Estado WAN;NA;;NA;NA;NA;NA;NA;NA
906014;NA;NA;NA;NA;LAN Status;Estado LAN;NA;;NA;NA;NA;NA;NA;NA
906015;NA;NA;NA;NA;Routing;Routing;NA;;NA;NA;NA;NA;NA;NA
906016;NA;NA;NA;NA;Monitoring;Monitoring;NA;;NA;NA;NA;NA;NA;NA
906017;NA;NA;NA;NA;Access control;Control de Acceso;NA;;NA;NA;NA;NA;NA;NA
906018;PLC Monitoring;906018;Powerline adaptör;NA;NA;NA;NA;;Powerline Adapter;Powerline Adapters;Powerline adaptör;Powerline Adapter;Powerline Adapters;Powerline Adapters
906019;NA;NA;NA;NA;Port Mirroring;Port mirroring;NA;;NA;NA;NA;NA;NA;NA
906020;EasyBox;;;;NA;NA;NA;NA;;EasyBox;EasyBox;;EasyBox;PlusBox
906021;Vodafone TV;;;;NA;NA;NA;NA;Vodafone TV;Vodafone TV;Vodafone TV;Vodafone TV;Vodafone TV;Vodafone TV
907001;NA;NA;NA;Messages;Messages;Mensajes;Messages;Messaggi;NA;NA;NA;NA;NA;NA
907002;NA;NA;NA;DSL;DSL;ADSL;DSL;;NA;NA;NA;NA;NA;NA
907003;NA;NA;NA;Fibre Status;Fibre Status;Estado Fibra;Fibre Status;;NA;NA;NA;NA;NA;NA
