ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
100001;WiFi;W-LAN;WiFI;WiFi;WiFi;WiFi;WiFi;WiFi;Heim WLAN;Main WiFi;Ana Wifi;Heim WLAN;Main WiFi;Ethernet
100002;Ethernet;Ethernet;Ethernet;Ethernet;Ethernet;Ethernet;Ethernet;Ethernet;Heimnetzwerk;Network;Ethernet;Heimnetzwerk;Network;WiFi
100003;USB;USB;USB;USB;USB;USB;USB;USB;USB;USB;USB;USB;USB;Guest WiFi
100004;Phone;Telefon;Telefon;Phone;Phone;Teléfono;Phone;Telefono;Telefon;Phone;Telefon;Telefon;Phone;Phone
100005;WiFi Schedule is on;W-LAN-Zeitplan ist aktiv;WiFi zaman çizelgesi etkin;WiFi Schedule is on;WiFi Schedule is on;El control horario de WiFi está activado;WiFi Schedule is on;WiFi Programmato attivo;Zeitplan ist aktiv;Schedule is on;Zamanlamak aktif;Zeitplan ist aktiv;Schedule is on;Schedule is on
100006;WPS is on;WPS ist aktiv;WPS aktif;WPS is on;WPS is on;WPS está activado;WPS is on;WPS attivo;WPS ist aktiv;WPS is on;WPS etkin;WPS ist aktiv;WPS is on;WPS is on
100007;Sharing is on;Web Sharing ist eingeschaltet;Web Sharing açık;Sharing is on;Sharing is on;Compartición de archivos activa;Sharing is on;Condivisione attiva;Web Sharing ist eingeschaltet;Sharing is on;Web Sharing açık;Web Sharing ist eingeschaltet;Sharing is on;Sharing is on
100008;Wake up call is on;Wecker ist aktiv;Uyandırma fonksiyonu etkin;Wake up call is on;Wake up call is on;El servicio Despertador está activado;Wake up call is on;;Wecker ist aktiv;Wake up call is on;Uyandırma fonksiyonu etkin;Wecker ist aktiv;Wake up call is on;Wake up call is on
100009;Ringing Schedule is on;Anrufliste ist Aktiv;Arama listesi etkin;Ringing Schedule is on;Ringing Schedule is on;El servicio no molestar está activado;Ringing Schedule is on;;Zeitplan ist aktiv;Schedule is on;Zamanlamak aktif;Zeitplan ist aktiv;Schedule is on;Schedule is on
100010;Voicemail is on;Anrufbeantworter ist eingeschaltet;Telesekreter açık;Voicemail is on;Voicemail is on;El buzón de voz está activado;Voicemail is on;Segreteria telefonica attiva;Anrufbeantworter ist eingeschaltet;Voicemail is on;Telesekreter açık;Anrufbeantworter ist eingeschaltet;Voicemail is on;Voicemail is on
100011;More Device;Weiteres Gerät;Daha fazla cihaz;More Device;More Device;Otro dispositivo;More Device;Altro dispositivo;weiteres Gerät;more device;Bir cihaz daha;weiteres Gerät;more device;more device
100012;More Devices;Weitere Geräte;Daha fazla cihaz;More Devices;More Devices;Más dispositivos;More Devices;Altri dispositivi;weitere Geräte;more devices;Daha fazla cihaz;weitere Geräte;more devices;more devices
100013;Guest WiFi;Gast W-LAN;Misafir WiFi;Guest WiFi;Guest WiFi;WiFi de invitados;Guest WiFi;WiFi Ospiti;Gast WLAN;Guest WiFi;Misafir WiFi;Gast WLAN;Guest WiFi;Guest WiFi
100014;Hide Devices;Gerät verbergen;Cihazı gizle;Hide Devices;Hide Devices;Ocultar dispositivos;Hide Devices;Nascondi dispositivi;Ausblenden;Hide devices;Cihazı gizle;Ausblenden;Hide devices;Hide devices
100015;Down;Down;Indirme;Down;Down;Bajada;Down;Download;Down;Down;Indirme;Down;Down;Down
100016;Up;Up;Yükleme;Up;Up;Subida;Up;Upload;Up;Up;Yükleme;Up;Up;Up
100017;Service unavailable;Dienst nicht verfügbar;Servis mevcut değil;Service unavailable;Service unavailable;Servicio no disponible;Service unavailable;Servizio non disponibile;Dienst nicht verfügbar;Service unavailable;Servis mevcut değil;Dienst nicht verfügbar;Service unavailable;Service unavailable
100018;not configured;nicht konfiguriert;yapılandırılmamış;not configured;not configured;no configurado;not configured;non configurato;nicht konfiguriert;not configured;yapılandırılmamış;nicht konfiguriert;not configured;not configured
100019;Vodafone UMTS Stick;Vodafone UMTS Stick;Vodafone 3G Cihaz;Vodafone UMTS Stick;Vodafone UMTS Stick;Módem 3G;Vodafone UMTS Stick;Vodafone Internet Key;Vodafone UMTS Stick;Vodafone UMTS Stick;Vodafone 3G Cihaz;Vodafone UMTS Stick;Vodafone UMTS Stick;Vodafone UMTS Stick
100020;Mbit/s;MBit/s;MBit/s;Mbit/s;Mbit/s;Mbit/s;Mbit/s;Mbit/s;MBit/s;Mbit/s;MBit/s;MBit/s;Mbit/s;Mbit/s
100021;LTE;LTE;4G;LTE;LTE;LTE;LTE;4G;LTE;LTE;4G;LTE;LTE;LTE
100022;UMTS;UMTS;3G;UMTS;UMTS;UMTS;UMTS;3G;UMTS;UMTS;3G;UMTS;UMTS;UMTS
100023;ADSL;ADSL;ADSL;ADSL;ADSL;ADSL;ADSL;ADSL;ADSL;ADSL;ADSL;ADSL;ADSL;ADSL
100024;VDSL;VDSL;VDSL;VDSL;VDSL;VDSL;VDSL;VDSL;VDSL;VDSL;VDSL;VDSL;VDSL;VDSL
100025;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;All devices with an IP Address assigend by the PlusBox DHCP Servers and devices with a fixed configured IP address generating <br> Internet traffic are displayed.
100026;NA;NA;NA;NA;NA;NA;NA;NA;suchen;seeking;aramak;suchen;seeking;seeking
100027;NA;NA;NA;NA;NA;NA;NA;NA;synchronisieren;training;atraman;synchronisieren;training;training
