ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
201001;Call Log;Anrufliste;Arama listesi;Call Log;Call Log;Registro de llamadas;Call Log;Registro chiamate;Anrufliste;Call Log;Arama listesi;;;Call Log
201002;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
201003;Show calls for;Anrufe anzeigen für;Aramaları göster;Show calls for;Show calls for;Mostrar llamadas para;Show calls for;Mostra chiamate per;Anrufe anzeigen für;Show calls for;Aramaları göster;Anrufe anzeigen für;Show calls for;Show calls for
201004;All numbers;Alle Nummern;Tüm numaralar;All numbers;All numbers;Todos los números;All numbers;Tutti i numeri;Alle Nummern;All numbers;Tüm numaralar;Alle Nummern;All numbers;All numbers
201005;All;Alle;Tümü;All;All;Todo;All;Tutti;Alle;All;Tümü;Alle;All;All
201006;Dialled;Gewählt;Aranan;Dialled;Dialled;Salientes;Dialled;In uscita;Gewählt;Dialled;Aranan;Gewählt;Dialled;Dialled
201007;Received;Empfangen;Gelen;Received;Received;Entrantes;Received;In entrata;Empfangen;Received;Gelen;Empfangen;Received;Received
201008;Missed;Verpasst;Cevapsız;Missed;Missed;Perdidas;Missed;Perse;Verpasst;Missed;Cevapsız;Verpasst;Missed;Missed
201009;Date;Datum;Tarih;Date;Date;Fecha;Date;Data;Datum;Date;Tarih;Datum;Date;Date
201010;Time;Uhrzeit;Saat;Time;Time;Hora;Time;Ora;Uhrzeit;Time;Saat;Uhrzeit;Time;Time
201011;Contact;Kontakt;Kişi;Contact;Contact;Contacto;Contact;Contatto;Rufnummer;External Number;Telefon numarası;Rufnummer;External Number;External Number
201012;Internal Number;Interne Rufnummer;Dahili numara;Internal Number;Internal Number;Número interno;Internal Number;Numero interno;Ihre Rufnummer;Your Phone Number;Kendi telefon numaranız;Ihre Rufnummer;Your Phone Number;Your Phone Number
201013;Duration;Dauer;Süre;Duration;Duration;Duración;Duration;Durata;Dauer;Duration;Süre;Dauer;Duration;Duration
201014;Today;Heute;Bugün;Today;Today;Hoy;Today;Oggi;Heute;Today;Bugün;Heute;Today;Today
201015;Yesterday;Gestern;Dün;Yesterday;Yesterday;Ayer;Yesterday;Ieri;Gestern;Yesterday;Dün;Gestern;Yesterday;Yesterday
201016;Create New Contact;Neuer Kontakt;Yeni kişi;Create New Contact;Create New Contact;Crear nuevo contacto;Create New Contact;Crea nuovo contatto;Neuer Kontakt;Create New Contact;Yeni kişi;Neuer Kontakt;Create New Contact;Create New Contact
201017;Add to Contact;Zu Kontakt hinzufügen;Kişiye ekle;Add to Contact;Add to Contact;Añadir a contactos;Add to Contact;Aggiungi ai contatti;Zu Kontakt hinzufügen;Add to Contact;Kişiye ekle;Zu Kontakt hinzufügen;Add to Contact;Add to Contact
201018;Delete;Löschen;Sil;Delete;Delete;Borrar;Delete;Elimina;Löschen;Delete;Sil;Löschen;Delete;Delete
201019;When creating a new contact please only select unknown numbers.;Wenn Sie einen neuen Kontakt erstellen möchten, wählen Sie bitte nur unbekannte Nummern.;Eğer yeni bir kişi oluşturmak istiyorsanız, lütfen sadece bilinmeyen numaraları seçiniz.;When creating a new contact please only select unknown numbers.;When creating a new contact please only select unknown numbers.;Al crear un nuevo contacto por favor seleccione únicamente un número desconocido.;When creating a new contact please only select unknown numbers.;Seleziona un numero che non hai già in rubrica quando aggiungi un nuovo contatto.;Wenn Sie einen neuen Kontakt erstellen möchten, wählen Sie bitte nur unbekannte Nummern.;When creating a new contact please only select unknown numbers.;Eğer yeni bir kişi oluşturmak istiyorsanız, lütfen sadece bilinmeyen numaraları seçiniz.;Wenn Sie einen neuen Kontakt erstellen möchten, wählen Sie bitte nur unbekannte Nummern.;When creating a new contact please only select unknown numbers.;When creating a new contact please only select unknown numbers.
201020;When adding to an existing contact, please only select unknown numbers.;Um zu bestehenden Kontakten hinzuzufügen, wählen Sie bitte nur unbekannte Nummern.;Mevcut kişilere eklemek için lütfen sadece bilinmeyen numaraları seçiniz.;When adding to an existing contact, please only select unknown numbers.;When adding to an existing contact, please only select unknown numbers.;Al agregar a un contacto existente por favor seleccione únicamente un número desconocido.;When adding to an existing contact, please only select unknown numbers.;Seleziona un numero che non hai già in rubrica quando aggiungi un nuovo numero ad un contatto esistente.;Um zu bestehenden Kontakten hinzuzufügen, wählen Sie bitte nur unbekannte Nummern.;When adding to an existing contact, please only select unknown numbers.;Mevcut kişilere eklemek için lütfen sadece bilinmeyen numaraları seçiniz.;Um zu bestehenden Kontakten hinzuzufügen, wählen Sie bitte nur unbekannte Nummern.;When adding to an existing contact, please only select unknown numbers.;When adding to an existing contact, please only select unknown numbers.
201021;Are you sure you want to delete the selected records?;Möchten Sie diesen Eintrag wirklich löschen?;Bu kaydı gerçekten silmek istiyor musunuz?;Are you sure you want to delete the selected records?;Are you sure you want to delete the selected records?;¿Está seguro de que desea eliminar los registros seleccionados?;Are you sure you want to delete the selected records?;Sei sicuro di voler eliminare le chiamate selezionate?;Möchten Sie diesen Eintrag wirklich löschen?;Are you sure you want to delete the selected records?;Bu kaydı gerçekten silmek istiyor musunuz?;Möchten Sie diesen Eintrag wirklich löschen?;Are you sure you want to delete the selected records?;Are you sure you want to delete the selected records?
201022;No Calls Recorded;Keine Gespräche aufgezeichnet;Arama kaydı yok;No Calls Recorded;No Calls Recorded;No hay llamadas grabadas;No Calls Recorded;Nessuna chiamata;Keine Gespräche aufgezeichnet;No Calls Recorded;Arama kaydı yok;Keine Gespräche aufgezeichnet;No Calls Recorded;No Calls Recorded
201023;Please select at least one call.;Bitte bestätigen Sie, dass Sie die ausgewählten Nachrichten an die Adresse.;Lütfen en az bir arama seçiniz.;Please select at least one call.;Please select at least one call.;Por favor, seleccione al menos una llamada.;Please select at least one call.;Seleziona almeno una chiamata;Bitte bestätigen Sie, dass Sie die ausgewählten Nachrichten an die Adresse.;Please select at least one call.;Lütfen en az bir arama seçiniz.;Bitte bestätigen Sie, dass Sie die ausgewählten Nachrichten an die Adresse.;Please select at least one call.;Please select at least one call.
201024;Showing %s1 - %s2 of %s3 entries;%s1 bis %s2 von %s3 Einträgen anzeigen.; %s3 kayıttan %s1-%s2 kaydı göster.;Showing %s1 - %s2 of %s3 entries;Showing %s1 - %s2 of %s3 entries;Mostrando %s1 - %s2 de las %s3 entradas;Showing %s1 - %s2 of %s3 entries;Mostra %s1 - %s2 di &s3;%s1 bis %s2 von %s3 Einträgen anzeigen.;Showing %s1 - %s2 of %s3 entries; %s3 kayıttan %s1-%s2 kaydı göster.;%s1 bis %s2 von %s3 Einträgen anzeigen.;Showing %s1 - %s2 of %s3 entries;Showing %s1 - %s2 of %s3 entries
201025;Showing 1 of 1 entry;1 von 1 Einträgen anzeigen.;1den 1 kayit göster.;Showing 1 of 1 entry;Showing 1 of 1 entry;Mostrando 1 de 1 entrada;Showing 1 of 1 entry;Mostra 1 di 1;1 von 1 Einträgen anzeigen.;Showing 1 of 1 entry;1den 1 kayit göster.;1 von 1 Einträgen anzeigen.;Showing 1 of 1 entry;Showing 1 of 1 entry
201026;View All;Alle anzeigen;Tümü göster;View All;View All;Ver todos;View All;Vedi tutte;Alle anzeigen;View All;Tümü göster;Alle anzeigen;View All;View All
201027;View First %s1 Only;Nur erste %s1 anzeigen;Sadece ilk %s1 göster;View First %s1 Only;View First %s1 Only;Ver primeros %s1 solamente;View First %s1 Only;Vedi solo prime %s1;Nur erste %s1 anzeigen;View First %s1 Only;Sadece ilk %s1 göster;Nur erste %s1 anzeigen;View First %s1 Only;View First %s1 Only
201028;Please select one call log record when creating a new contact;Bitte wählen Sie einen Eintrag aus der Anrufliste aus, um einen neuen Kontakt anzulegen;Yeni bir kartvizit oluşturmak için çağrı listeden bir kayıt seçin;Please select one call log record when creating a new contact;Please select one call log record when creating a new contact;Por favor, seleccione un registro de llamadas cuando se crea un nuevo contacto;Please select one call log record when creating a new contact;Seleziona almeno una chiamata per creare un nuovo contatto;Bitte wählen Sie einen Eintrag aus der Anrufliste aus, um einen neuen Kontakt anzulegen;Please select one call log record when creating a new contact;Yeni bir kartvizit oluşturmak için çağrı listeden bir kayıt seçin;Bitte wählen Sie einen Eintrag aus der Anrufliste aus, um einen neuen Kontakt anzulegen;Please select one call log record when creating a new contact;Please select one call log record when creating a new contact
201029;Please select one call log record when adding a number to an existing contact;Bitte wählen Sie einen Eintrag aus der Anrufliste aus, um eine Rufnummer zu einem bestehenden Kontakt hinzuzufügen;Varolan bir telefon numarası eklemek için çağrı listesinden birini seçiniz;Please select one call log record when adding a number to an existing contact;Please select one call log record when adding a number to an existing contact;Por favor, seleccione un registro de llamadas cuando se añade un número a un contacto existente;Please select one call log record when adding a number to an existing contact;Seleziona almeno una chiamata per aggiungere un numero a un contatto esistente;Bitte wählen Sie einen Eintrag aus der Anrufliste aus, um eine Rufnummer zu einem bestehenden Kontakt hinzuzufügen;Please select one call log record when adding a number to an existing contact;Varolan bir telefon numarası eklemek için çağrı listesinden birini seçiniz;Bitte wählen Sie einen Eintrag aus der Anrufliste aus, um eine Rufnummer zu einem bestehenden Kontakt hinzuzufügen;Please select one call log record when adding a number to an existing contact;Please select one call log record when adding a number to an existing contact
201030;Add to Contact;Zu Kontakt hinzufügen;Rehbere ekle;Add to Contact;Add to Contact;Añadir a Contacto;Add to Contact;Aggiungi ai contatti;Zu Kontakt hinzufügen;Add to Contact;Rehbere ekle;Zu Kontakt hinzufügen;Add to Contact;Add to Contact
201031;NA;NA;NA;TEL1;TEL1;TEL1;TEL1;TEL1;NA;NA;NA;NA;NA;NA
201032;NA;NA;NA;TEL2;TEL2;TEL2;TEL2;TEL2;NA;NA;NA;NA;NA;NA
201033;NA;NA;NA;Hide Call Log on LCD;Hide Call Log on LCD;Ocultar Registro de llamadas en la pantalla LCD;Hide Call Log on LCD;;NA;NA;NA;NA;NA;NA
