ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
601001;Status;Status der EasyBox;EasyBox cihazının durumu;Status;Status;Estado;Status;Stato;Status der EasyBox;Easybox Status;EasyBox cihazının durumu;Status der EasyBox;Easybox Status;PlusBox Status
601002;Find an overview of all your EasyBox parameters. This may help you in optimizing or trouble shooting your EasyBox. ;Sehen Sie hier einen Überblick über alle Parameter der EasyBox. Dies kann auch helfen, Ihre EasyBox zu optimieren, oder eventuelle Probleme zu erkennen. ;Burada, EasyBox cihazının tüm parametrelerini görebilirsiniz. Bu bilgiler, cihazınızı optimize etmenize veya muhtemel sorunları tespit etmenize de yardımcı olabilir. ;Find an overview of all your EasyBox parameters. This may help you in optimizing or trouble shooting your EasyBox. ;Find an overview of all your router parameters. This may help you in optimizing or trouble shooting your router.;Vea un resumen de todos los parámetros del router. Esto puede ayudarle a optimizar o solucionar errores en el router.;Find an overview of all your EasyBox parameters. This may help you in optimizing or trouble shooting your EasyBox. ;;Sehen Sie hier einen Überblick über alle Parameter der EasyBox. Dies kann auch helfen, Ihre EasyBox zu optimieren, oder eventuelle Probleme zu erkennen. ;This page provides an overview of main parameters of your Easybox. This can help you to optimize your Easybox or identify potential problems.;Burada, EasyBox cihazının tüm parametrelerini görebilirsiniz. Bu bilgiler, cihazınızı optimize etmenize veya muhtemel sorunları tespit etmenize de yardımcı olabilir. ;Sehen Sie hier einen Überblick über alle Parameter der EasyBox. Dies kann auch helfen, Ihre EasyBox zu optimieren, oder eventuelle Probleme zu erkennen. ;This page provides an overview of main parameters of your Easybox. This can help you to optimize your Easybox or identify potential problems.;This page provides an overview of main parameters of your PlusBox. This can help you to optimize your PlusBox or identify potential problems.
601003;Internet;Internet;İnternet;Internet;Internet;Internet;Internet;Internet;Internet;Internet;İnternet;Internet;Internet;Internet
601004;IP Address;IP-Adresse;IP adresi;IP Address;IP Address;Dirección IP;IP Address;Indirizzo IP;IP-Adresse;IP Address;IP adresi;IP-Adresse;IP Address;IP Address
601005;Primary DNS IP Address;Primärer DNS;Birincil DNS;Primary DNS IP Address;Primary DNS IP Address;Dirección IP DNS primario;Primary DNS IP Address;DSN primario;Primärer DNS;Primary DNS IP Address;Birincil DNS;Primärer DNS;Primary DNS IP Address;Primary DNS IP Address
601006;Secondary DNS IP Address;Sekundärer DNS;İkincil DNS;Secondary DNS IP Address;Secondary DNS IP Address;Dirección IP DNS secundario;Secondary DNS IP Address;DNS secondario;Sekundärer DNS;Secondary DNS IP Address;İkincil DNS;Sekundärer DNS;Secondary DNS IP Address;Secondary DNS IP Address
601007;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall;Firewall
601008;LAN;LAN;LAN;LAN;LAN;LAN;LAN;LAN;Netzwerk;LAN Network;Network;Netzwerk;LAN Network;LAN Network
601009;IP Network;IP Netzwerk;IP ağ;IP Network;IP Network;Red IP;IP Network;;IP Netzwerk;IP Network;IP ağ;IP Netzwerk;IP Network;IP Network
601010;Default Gateway;Gateway;Gateway;Default Gateway;Default Gateway;Default Gateway;Default Gateway;;Gateway;Default Gateway;Gateway;Gateway;Default Gateway;Default Gateway
