ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
401001;General;Allgemein;Genel;General;General;General;Primary;Primario;Allgemein WLAN-Einstellungen;General WiFi Settings;"Genel WiFi ayarları
";Allgemein WLAN-Einstellungen;General WiFi Settings;General WiFi Settings
401002;Your EasyBox supports the industry-wide WLAN standards with transmission rates up to 300 Mbit/s (802.11b/g/n), enabling easy wireless connection of your devices.;Ihre EasyBox unterstützt W-LAN-Standards mit Übertragungsraten bis zu 300 Mbit/s (802.11b/g/n), wodurch einfach eine drahtlose Verbindung Ihrer Geräte gewährleistet ist.;EasyBox cihazınız, aktarım oranı 300 Mbit/san (802.11b/g/n) değerine varan WiFi standartlarını desteklemektedir. Böylece, cihazlarınızın kablosuz olarak kolayca bağlanması sağlanmaktadır.;Your EasyBox supports the industry-wide WLAN standards with transmission rates up to 300 Mbit/s (802.11b/g/n), enabling easy wireless connection of your devices.;Your router supports the industry-wide WLAN standards with transmission rates up to 300 Mbit/s (802.11b/g/n), enabling easy wireless connection of your devices.;Su router soporta los estándares WLAN con velocidades de transmisión de hasta 300 Mbit / s (802.11b/g/n), que facilita la conexión inalámbrica de los dispositivos.;Your EasyBox supports the industry-wide WLAN standards with transmission rates up to 300 Mbit/s (802.11b/g/n), enabling easy wireless connection of your devices.;;Ihre EasyBox unterstützt unterschiedliche WLAN-Standards, wodurch eine einfache drahtlose Verbindung Ihrer Geräte gewährleistet wird.;Your EasyBox supports the industry-wide WiFi standards, enabling easy wireless connection of your devices.;"EasyBox cihazınız kolay kablosuz bağlantı sağlayan endüstri WiFi standartlarını desteklıyor.
";Ihre EasyBox unterstützt unterschiedliche WLAN-Standards, wodurch eine einfache drahtlose Verbindung Ihrer Geräte gewährleistet wird.;Your EasyBox supports the industry-wide WiFi standards, enabling easy wireless connection of your devices.;Your PlusBox supports the industry-wide WiFi standards, enabling easy wireless connection of your devices.
401003;WiFi Network;W-LAN Netzwerk;WiFi ağı;WiFi Network;WiFi Network;Red WiFi;WiFi Network;Rete WiFi;WLAN-Netzwerk;WiFi Network;WiFi ağı;WLAN-Netzwerk;WiFi Network;WiFi Network
401004;Enable WiFi On/Off button on the EasyBox device;W-LAN Schalter an der EasyBox aktivieren;EasyBox üzerindeki WiFi açma/kapama butonunu etkinleştirme;Enable WiFi On/Off button on the EasyBox device;Enable WiFi On/Off button on the router;Activar WiFi On / Off en el router;Enable WiFi On/Off button on the EasyBox device;;WLAN ein-/ausschaltbar über die WLAN-Taste an der EasyBox;Enable WiFi On/Off button on EasyBox;EasyBox üzerindeki WiFi açma/kapama butonunu etkinleştirme;WLAN ein-/ausschaltbar über die WLAN-Taste an der EasyBox;Enable WiFi On/Off button on EasyBox;Enable WiFi On/Off button on PlusBox
401005;Show network key on the EasyBox display;Netzwerkschlüssel auf dem Display der EasyBox anzeigen;WiFi şifresini EasyBox cihazının ekranında göster;Show network key on the EasyBox display;Show network key on the router display;Mostrar clave de red en la pantalla del router;Show network key on the EasyBox display;;NA;NA;NA;NA;NA;WiFi Transmission Power
401006;Setup;Konfiguration;Düzenleme;Setup;Setup;Configuración;Setup;;Konfiguration;Setup;Düzenleme;Konfiguration;Setup;Setup
401007;WiFi Name (SSID);W-LAN Name (SSID);WiFi  ismi (SSID);WiFi Name (SSID);WiFi Name (SSID);Red WiFi (SSID);WiFi Name (SSID);;WLAN-Name (SSID);WiFi Name (SSID);WiFi  ismi (SSID);WLAN-Name (SSID);WiFi Name (SSID);WiFi Name (SSID)
401008;Broadcast SSID;SSID ausstrahlen;WiFi görülebilir;Broadcast SSID;Broadcast SSID;Emitir SSID;Broadcast SSID;;SSID ausstrahlen;Broadcast SSID;WiFi görülebilir;SSID ausstrahlen;Broadcast SSID;Broadcast SSID
401009;Frequency;Frequenz;WiFi frekansı;Frequency;Frequency;Frecuencia;Frequency;;Frequenz;Frequency;WiFi frekansı;Frequenz;Frequency;Frequency
401010;WiFi;W-LAN;WiFi;WiFi;WiFi;WiFi;WiFi;;Heim WLAN;Main WiFi;Ana WiFi;Heim WLAN;Main WiFi;Main WiFi
401011;Network key;Netzwerkschlüssel;WiFi şifresi;Network key;Network key;Clave de red;Network key;;WLAN-Kennwort;WiFi Password;WiFi şifresi;WLAN-Kennwort;WiFi Password;WiFi Password
401012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;High
401013;WiFi Protection;Sicherheitsstandard;WiFi güvenliği;WiFi Protection;WiFi Protection;Protección WiFi;WiFi Protection;;Sicherheitsstandard;Protection Mode;WiFi güvenliği;Sicherheitsstandard;Protection Mode;Protection Mode
401014;Guest WiFi;Gast W-LAN;Misafir WiFi;Guest WiFi;Guest WiFi;Invitado WiFi;WiFi 5GHz;;Gast WLAN;Guest WiFi;Misafir WiFi;Gast WLAN;Guest WiFi;Guest WiFi
401015;Set new Network Key;Neuen Netzwerkschlüssel setzen;Yeni şifrenizi giriniz;Set new Network Key;Set new Network Key;Establecer nueva clave de red;Set new Network Key;;Neues WLAN-Kennwort setzen;Set new Network Key;Wifi şifre yenileme;Neues WLAN-Kennwort setzen;Set new Network Key;Set new Network Key
401016;Network key;Netzwerkschlüssel;Şifre;Network key;Network key;Clave de red;Network key;;WLAN-Kennwort;WiFi Password;"
Wifi şifre
";WLAN-Kennwort;WiFi Password;WiFi Password
401017;Re-enter;Wiederholen;Şifreyi tekrar yazın;Re-enter;Re-enter;Volver a introducir;Re-enter;;Wiederholen;Re-enter;Şifreyi tekrar yazın; ;Re-enter;Re-enter
401018;The keys you entered do not match.;Die Eingaben stimmen nicht überein.;Girilen şifreler aynı değil.;The keys you entered do not match.;The keys you entered do not match.;Las claves introducidas no coinciden;The keys you entered do not match.;;Die Eingaben stimmen nicht überein.;The keys you entered do not match.;Girilen şifreler aynı değil.;Die Eingaben stimmen nicht überein.;The keys you entered do not match.;The keys you entered do not match.
401019;The WiFi Schedule is currently enabled. Your WiFi connection will turn on and off as specified.;W-LAN Timer ist derzeit aktiviert. W-LAN wird sich wie eingestellt ein- und ausschalten;WiFi zamanlayıcı şu anda etkin. WiFi ayarlandığı şekilde açılacak ve kapanacaktır.;The WiFi Schedule is currently enabled. Your WiFi connection will turn on and off as specified.;The WiFi Schedule is currently enabled. Your WiFi connection will turn on and off as specified.;El control horario de WiFi está activado. El WiFi estará disponible según lo especificado;The WiFi Schedule is currently enabled. Your WiFi connection will turn on and off as specified.;;Die Zeitplan-Funktion für das WLAN ist aktiviert. Das WLAN wird sich entsprechend automatisch ein- und ausschalten.;The WiFi schedule is currently enabled. Your WiFi connection will turn on and off as specified.;WiFi zamanlayıcı şu anda etkin. WiFi ayarlandığı şekilde açılacak ve kapanacaktır.;Die Zeitplan-Funktion für das WLAN ist aktiviert. Das WLAN wird sich entsprechend automatisch ein- und ausschalten.;The WiFi schedule is currently enabled. Your WiFi connection will turn on and off as specified.;The WiFi schedule is currently enabled. Your WiFi connection will turn on and off as specified.
401020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Medium
401021;Without a password your wireless network is unsecured. Anyone within the range of your EasyBox WiFi can use your connection and access your shared files. It is highly recommended to set WiFi protection.;Ohne Passwort ist Ihr drahtloses Netzwerk ungesichert. Jeder innerhalb der Reichweite Ihres EasyBox WiFi kann Ihre Verbindung nutzen und Zugriff auf Ihre freigegebenen Dateien bekommen. Es wird dringend empfohlen, den WiFi-Schutz setzen.;WiFi şifresiz kulanmak güvenli değil. EasyBox menzili içinde herkes WiFi bağlantınızı kulanabilir. Oldukça WiFi şifreli kulanip ve ayarlamanızı tavsiye edilir.;Without a password your wireless network is unsecured. Anyone within the range of your EasyBox WiFi can use your connection and access your shared files. It is highly recommended to set WiFi protection.;If you select this option any user can connect to your router exposing the security of your information. We recommend you to enable WiFi key.;Seleccionando esta opción cualquier usuario podrá conectarse a su router reduciendo la seguridad de su información. Le recomendamos que habilite la contraseña de acceso WiFi;Without a password your wireless network is unsecured. Anyone within the range of your EasyBox WiFi can use your connection and access your shared files. It is highly recommended to set WiFi protection.;;Ohne Passwort ist Ihr WLAN ungesichert! Jeder kann sich ungehindert mit Ihrem Netzwerk verbinden. Es wird dringend empfohlen, den Sicherheitsstandard WPA2 auszuwählen mit einem zugehörigen WLAN-Kennwort.;Without a password your wireless network is unsecured! Everyone may easily connect to your network. It is highly recommended to set protection mode to WPA2 with a WiFi password.;WiFi şifresiz kulanmak güvenli değil. EasyBox menzili içinde herkes WiFi bağlantınızı kulanabilir. Oldukça WiFi (WPA2) şifreli kulanip ve ayarlamanızı tavsiye edilir.;Ohne Passwort ist Ihr WLAN ungesichert! Jeder kann sich ungehindert mit Ihrem Netzwerk verbinden. Es wird dringend empfohlen, den Sicherheitsstandard WPA2 auszuwählen mit einem zugehörigen WLAN-Kennwort.;Without a password your wireless network is unsecured! Everyone may easily connect to your network. It is highly recommended to set protection mode to WPA2 with a WiFi password.;Without a password your wireless network is unsecured! Everyone may easily connect to your network. It is highly recommended to set protection mode to WPA2 with a WiFi password.
401022;off;aus;Kapalı;off;off;abierta;off;;aus;off;Kapalı;aus;off;off
401023;Guest WiFi Name;Gast W-LAN Name;Misafir WiFi ismi;Guest WiFi Name;Guest WiFi Name;Nombre de WiFi de invitados;Guest;;Gast WLAN Name;Guest WiFi Name;Misafir WiFi ismi;Gast WLAN Name;Guest WiFi Name;Guest WiFi Name
401024;WEP;WEP;WEP;WEP;WEP;WEP;WEP;;WEP;WEP;WEP;WEP;WEP;WEP
401025;WPA;WPA;WPA;WPA;WPA;WPA;WPA;;WPA;WPA;WPA;WPA;WPA;WPA
401026;WPA + WPA2;WPA + WPA2;WPA + WPA2;WPA + WPA2;WPA + WPA2;WPA + WPA2;WPA + WPA2;;WPA + WPA2;WPA + WPA2;WPA + WPA2;WPA + WPA2;WPA + WPA2;WPA + WPA2
401027;WPA2;WPA2;WPA2;WPA2;WPA2;WPA2;WPA2;;WPA2;WPA2;WPA2;WPA2;WPA2;WPA2
401028;Number of WiFi devices;Anzahl der W-LAN-Geräte;WiFi aygıtların sayısı;Number of WiFi devices;Number of WiFi devices;Número de dispositivos WiFi;Number of WiFi devices;;Anzahl der WLAN-Geräte;Number of WiFi devices;WiFi aygıtların sayısı;Anzahl der WLAN-Geräte;Number of WiFi devices;Number of WiFi devices
401029;WEP Key;WEP Schlüssel;WEP şifresi;WEP Key;WEP Key;Clave WEP;WEP Key;;WEP Schlüssel;WEP Key;WEP şifresi;WEP Schlüssel;WEP Key;WEP Key
